order_month,total_orders,avg_order_value,on_time_pct,avg_delay_days
2015-01,5322,177.64,44.0,0.54
2015-02,4729,176.15,42.0,0.6
2015-03,5362,176.06,43.0,0.57
2015-04,5126,177.92,44.0,0.55
2015-05,5357,176.21,42.0,0.56
2015-06,5134,179.24,44.0,0.54
2015-07,5299,176.06,42.0,0.57
2015-08,5273,175.46,42.0,0.6
2015-09,5140,177.92,41.0,0.58
2015-10,5302,177.88,43.0,0.54
2015-11,5235,176.62,44.0,0.56
2015-12,5371,176.97,43.0,0.57
2016-01,5317,176.84,42.0,0.6
2016-02,4894,177.79,44.0,0.55
2016-03,5210,176.87,42.0,0.56
2016-04,5097,176.67,43.0,0.58
2016-05,5302,174.46,42.0,0.59
2016-06,5054,178.36,41.0,0.64
2016-07,5305,177.04,45.0,0.53
2016-08,5334,176.68,43.0,0.52
2016-09,5160,174.49,43.0,0.57
2016-10,5398,174.49,43.0,0.57
2016-11,5210,180.65,43.0,0.58
2016-12,5269,176.91,41.0,0.55
2017-01,5217,177.4,44.0,0.54
2017-02,4906,181.8,42.0,0.59
2017-03,5347,176.23,42.0,0.56
2017-04,5212,178.88,44.0,0.57
2017-05,5317,186.8,43.0,0.54
2017-06,4951,187.32,44.0,0.52
2017-07,5318,186.62,42.0,0.58
2017-08,5305,187.84,41.0,0.61
2017-09,5189,197.94,43.0,0.53
2017-10,2255,428.42,44.0,0.54
2017-11,2055,274.16,42.0,0.58
2017-12,2124,213.16,42.0,0.58
2018-01,2123,140.34,41.0,0.61
