order_region,order_month,on_time_pct,risk_flag
Central Asia,2016-08,0.0,HIGH RISK
Central Asia,2016-12,21.518987341772153,HIGH RISK
Eastern Asia,2016-10,16.666666666666664,HIGH RISK
Eastern Asia,2016-11,13.636363636363635,HIGH RISK
Northern Europe,2016-10,12.5,HIGH RISK
Northern Europe,2016-11,18.181818181818183,HIGH RISK
Southern Europe,2016-08,0.0,HIGH RISK
Southern Europe,2016-09,15.217391304347828,HIGH RISK
Southern Europe,2017-01,27.27272727272727,HIGH RISK
Western Europe,2016-09,4.0,HIGH RISK
